"id","confirmedCount","confirmedIncr","curedCount","curedIncr","currentConfirmedCount","currentConfirmedIncr","dateId","deadCount","deadIncr","suspectedCount","suspectedCountIncr","provinceName","provinceShortName"
"1332","361","1","356","0","4","1","20200611","1","0","3","0","福建省","福建"
"1333","361","0","356","0","4","0","20200612","1","0","3","0","福建省","福建"
"1334","361","0","356","0","4","0","20200613","1","0","3","0","福建省","福建"
"1335","362","1","356","0","5","1","20200614","1","0","3","0","福建省","福建"
"1336","362","0","356","0","5","0","20200615","1","0","3","0","福建省","福建"
"1337","362","0","356","0","5","0","20200616","1","0","3","0","福建省","福建"
"1338","362","0","356","0","5","0","20200617","1","0","3","0","福建省","福建"
"1339","3","3","0","0","3","3","20200123","0","0","0","0","陕西省","陕西"
"1340","5","2","0","0","5","2","20200124","0","0","0","0","陕西省","陕西"
"1341","22","17","0","0","22","17","20200125","0","0","0","0","陕西省","陕西"
"1342","35","13","0","0","35","13","20200126","0","0","0","0","陕西省","陕西"
"1343","46","11","0","0","46","11","20200127","0","0","0","0","陕西省","陕西"
"1344","56","10","0","0","56","10","20200128","0","0","0","0","陕西省","陕西"
"1345","63","7","0","0","63","7","20200129","0","0","0","0","陕西省","陕西"
"1346","87","24","0","0","87","24","20200130","0","0","0","0","陕西省","陕西"
"1347","101","14","0","0","101","14","20200131","0","0","0","0","陕西省","陕西"
"1348","116","15","0","0","116","15","20200201","0","0","0","0","陕西省","陕西"
"1349","128","12","0","0","128","12","20200202","0","0","0","0","陕西省","陕西"
"1350","142","14","0","0","142","14","20200203","0","0","0","0","陕西省","陕西"
"1351","165","23","1","1","164","22","20200204","0","0","0","0","陕西省","陕西"
"1352","173","8","2","1","171","7","20200205","0","0","0","0","陕西省","陕西"
"1353","184","11","6","4","178","7","20200206","0","0","0","0","陕西省","陕西"
"1354","195","11","11","5","184","6","20200207","0","0","0","0","陕西省","陕西"
"1355","208","13","17","6","191","7","20200208","0","0","0","0","陕西省","陕西"
"1356","213","5","20","3","193","2","20200209","0","0","0","0","陕西省","陕西"
"1357","219","6","26","6","193","0","20200210","0","0","0","0","陕西省","陕西"
"1358","225","6","31","5","194","1","20200211","0","0","0","0","陕西省","陕西"
"1359","225","0","36","5","189","-5","20200212","0","0","0","0","陕西省","陕西"
"1360","229","4","42","6","187","-2","20200213","0","0","0","0","陕西省","陕西"
"1361","230","1","49","7","181","-6","20200214","0","0","0","0","陕西省","陕西"
"1362","232","2","53","4","179","-2","20200215","0","0","0","0","陕西省","陕西"
"1363","236","4","64","11","172","-7","20200216","0","0","0","0","陕西省","陕西"
"1364","240","4","74","10","166","-6","20200217","0","0","0","0","陕西省","陕西"
"1365","240","0","79","5","161","-5","20200218","0","0","0","0","陕西省","陕西"
"1366","242","2","89","10","153","-8","20200219","0","0","0","0","陕西省","陕西"
"1367","245","3","105","16","139","-14","20200220","1","1","0","0","陕西省","陕西"
"1368","245","0","140","35","104","-35","20200221","1","0","0","0","陕西省","陕西"
"1369","245","0","153","13","91","-13","20200222","1","0","0","0","陕西省","陕西"
"1370","245","0","162","9","82","-9","20200223","1","0","0","0","陕西省","陕西"
"1371","245","0","175","13","69","-13","20200224","1","0","0","0","陕西省","陕西"
"1372","245","0","186","11","58","-11","20200225","1","0","0","0","陕西省","陕西"
"1373","245","0","194","8","50","-8","20200226","1","0","0","0","陕西省","陕西"
"1374","245","0","197","3","47","-3","20200227","1","0","0","0","陕西省","陕西"
"1375","245","0","200","3","44","-3","20200228","1","0","0","0","陕西省","陕西"
"1376","245","0","207","7","37","-7","20200229","1","0","0","0","陕西省","陕西"
"1377","245","0","209","2","35","-2","20200301","1","0","0","0","陕西省","陕西"
"1378","245","0","216","7","28","-7","20200302","1","0","0","0","陕西省","陕西"
"1379","245","0","218","2","26","-2","20200303","1","0","0","0","陕西省","陕西"
"1380","245","0","222","4","22","-4","20200304","1","0","0","0","陕西省","陕西"
"1381","245","0","224","2","20","-2","20200305","1","0","0","0","陕西省","陕西"
"1382","245","0","226","2","18","-2","20200306","1","0","0","0","陕西省","陕西"
"1383","245","0","226","0","18","0","20200307","1","0","0","0","陕西省","陕西"
"1384","245","0","227","1","17","-1","20200308","1","0","0","0","陕西省","陕西"
"1385","245","0","227","0","17","0","20200309","1","0","0","0","陕西省","陕西"
"1386","245","0","227","0","17","0","20200310","1","0","0","0","陕西省","陕西"
"1387","245","0","232","5","11","-6","20200311","2","1","0","0","陕西省","陕西"
"1388","245","0","232","0","11","0","20200312","2","0","0","0","陕西省","陕西"
"1389","245","0","232","0","11","0","20200313","2","0","0","0","陕西省","陕西"
"1390","245","0","232","0","11","0","20200314","2","0","0","0","陕西省","陕西"
"1391","245","0","232","0","11","0","20200315","2","0","0","0","陕西省","陕西"
"1392","246","1","233","1","10","-1","20200316","3","1","0","0","陕西省","陕西"
"1393","246","0","236","3","7","-3","20200317","3","0","0","0","陕西省","陕西"
"1394","246","0","237","1","6","-1","20200318","3","0","0","0","陕西省","陕西"
"1395","247","1","237","0","7","1","20200319","3","0","0","0","陕西省","陕西"
"1396","248","1","239","2","6","-1","20200320","3","0","0","0","陕西省","陕西"
"1397","248","0","239","0","6","0","20200321","3","0","0","0","陕西省","陕西"
"1398","248","0","239","0","6","0","20200322","3","0","0","0","陕西省","陕西"
"1399","249","1","240","1","6","0","20200323","3","0","0","0","陕西省","陕西"
"1400","250","1","240","0","7","1","20200324","3","0","1","1","陕西省","陕西"
"1401","253","3","242","2","8","1","20200325","3","0","1","0","陕西省","陕西"
"1402","253","0","242","0","8","0","20200326","3","0","1","0","陕西省","陕西"
"1403","253","0","242","0","8","0","20200327","3","0","1","0","陕西省","陕西"
"1404","253","0","242","0","8","0","20200328","3","0","1","0","陕西省","陕西"
"1405","253","0","242","0","8","0","20200329","3","0","1","0","陕西省","陕西"
"1406","253","0","242","0","8","0","20200330","3","0","1","0","陕西省","陕西"
"1407","255","2","242","0","10","2","20200331","3","0","1","0","陕西省","陕西"
"1408","255","0","242","0","10","0","20200401","3","0","1","0","陕西省","陕西"
"1409","255","0","244","2","8","-2","20200402","3","0","0","-1","陕西省","陕西"
"1410","256","1","245","1","8","0","20200403","3","0","0","0","陕西省","陕西"
"1411","256","0","245","0","8","0","20200404","3","0","1","1","陕西省","陕西"
"1412","256","0","246","1","7","-1","20200405","3","0","1","0","陕西省","陕西"
"1413","256","0","246","0","7","0","20200406","3","0","1","0","陕西省","陕西"
"1414","256","0","246","0","7","0","20200407","3","0","0","-1","陕西省","陕西"
"1415","256","0","246","0","7","0","20200408","3","0","0","0","陕西省","陕西"
"1416","256","0","246","0","7","0","20200409","3","0","1","1","陕西省","陕西"
"1417","256","0","248","2","5","-2","20200410","3","0","1","0","陕西省","陕西"
"1418","256","0","248","0","5","0","20200411","3","0","1","0","陕西省","陕西"
"1419","256","0","248","0","5","0","20200412","3","0","1","0","陕西省","陕西"
"1420","256","0","248","0","5","0","20200413","3","0","1","0","陕西省","陕西"
"1421","256","0","251","3","2","-3","20200414","3","0","1","0","陕西省","陕西"
"1422","256","0","251","0","2","0","20200415","3","0","1","0","陕西省","陕西"
"1423","256","0","252","1","1","-1","20200416","3","0","1","0","陕西省","陕西"
"1424","256","0","252","0","1","0","20200417","3","0","1","0","陕西省","陕西"
"1425","256","0","252","0","1","0","20200418","3","0","1","0","陕西省","陕西"
"1426","256","0","252","0","1","0","20200419","3","0","1","0","陕西省","陕西"
"1427","256","0","253","1","0","-1","20200420","3","0","1","0","陕西省","陕西"
"1428","277","21","253","0","21","21","20200421","3","0","1","0","陕西省","陕西"
"1429","279","2","253","0","23","2","20200422","3","0","1","0","陕西省","陕西"
"1430","279","0","253","0","23","0","20200423","3","0","1","0","陕西省","陕西"
"1431","286","7","253","0","30","7","20200424","3","0","1","0","陕西省","陕西"
"1432","286","0","253","0","30","0","20200425","3","0","1","0","陕西省","陕西"
"1433","286","0","253","0","30","0","20200426","3","0","1","0","陕西省","陕西"
"1434","286","0","253","0","30","0","20200427","3","0","1","0","陕西省","陕西"
"1435","306","20","253","0","50","20","20200428","3","0","1","0","陕西省","陕西"
"1436","306","0","253","0","50","0","20200429","3","0","1","0","陕西省","陕西"
"1437","306","0","254","1","49","-1","20200430","3","0","1","0","陕西省","陕西"
"1438","306","0","254","0","49","0","20200501","3","0","1","0","陕西省","陕西"
"1439","306","0","260","6","43","-6","20200502","3","0","1","0","陕西省","陕西"
"1440","306","0","263","3","40","-3","20200503","3","0","1","0","陕西省","陕西"
"1441","306","0","263","0","40","0","20200504","3","0","1","0","陕西省","陕西"
"1442","308","2","264","1","41","1","20200505","3","0","1","0","陕西省","陕西"
"1443","308","0","266","2","39","-2","20200506","3","0","1","0","陕西省","陕西"
"1444","308","0","268","2","37","-2","20200507","3","0","1","0","陕西省","陕西"
"1445","308","0","292","24","13","-24","20200508","3","0","1","0","陕西省","陕西"
"1446","308","0","293","1","12","-1","20200509","3","0","1","0","陕西省","陕西"
"1447","308","0","294","1","11","-1","20200510","3","0","1","0","陕西省","陕西"
"1448","308","0","296","2","9","-2","20200511","3","0","1","0","陕西省","陕西"
"1449","308","0","297","1","8","-1","20200512","3","0","1","0","陕西省","陕西"
"1450","308","0","297","0","8","0","20200513","3","0","1","0","陕西省","陕西"
"1451","308","0","300","3","5","-3","20200514","3","0","1","0","陕西省","陕西"
"1452","308","0","301","1","4","-1","20200515","3","0","1","0","陕西省","陕西"
"1453","308","0","301","0","4","0","20200516","3","0","1","0","陕西省","陕西"
"1454","308","0","301","0","4","0","20200517","3","0","1","0","陕西省","陕西"
"1455","308","0","303","2","2","-2","20200518","3","0","1","0","陕西省","陕西"
"1456","308","0","303","0","2","0","20200519","3","0","1","0","陕西省","陕西"
"1457","308","0","303","0","2","0","20200520","3","0","1","0","陕西省","陕西"
"1458","308","0","303","0","2","0","20200521","3","0","1","0","陕西省","陕西"
"1459","308","0","304","1","1","-1","20200522","3","0","1","0","陕西省","陕西"
"1460","308","0","305","1","0","-1","20200523","3","0","1","0","陕西省","陕西"
"1461","308","0","305","0","0","0","20200524","3","0","1","0","陕西省","陕西"
"1462","308","0","305","0","0","0","20200525","3","0","1","0","陕西省","陕西"
"1463","308","0","305","0","0","0","20200526","3","0","1","0","陕西省","陕西"
"1464","308","0","305","0","0","0","20200527","3","0","1","0","陕西省","陕西"
"1465","308","0","305","0","0","0","20200528","3","0","1","0","陕西省","陕西"
"1466","308","0","305","0","0","0","20200529","3","0","1","0","陕西省","陕西"
"1467","308","0","305","0","0","0","20200530","3","0","1","0","陕西省","陕西"
"1468","308","0","305","0","0","0","20200531","3","0","1","0","陕西省","陕西"
"1469","309","1","305","0","1","1","20200601","3","0","1","0","陕西省","陕西"
"1470","309","0","305","0","1","0","20200602","3","0","1","0","陕西省","陕西"
"1471","309","0","305","0","1","0","20200603","3","0","1","0","陕西省","陕西"
"1472","309","0","305","0","1","0","20200604","3","0","1","0","陕西省","陕西"
"1473","309","0","305","0","1","0","20200605","3","0","1","0","陕西省","陕西"
"1474","311","2","305","0","3","2","20200606","3","0","1","0","陕西省","陕西"
"1475","311","0","305","0","3","0","20200607","3","0","1","0","陕西省","陕西"
"1476","311","0","305","0","3","0","20200608","3","0","1","0","陕西省","陕西"
"1477","311","0","305","0","3","0","20200609","3","0","1","0","陕西省","陕西"
"1478","311","0","306","1","2","-1","20200610","3","0","1","0","陕西省","陕西"
"1479","311","0","306","0","2","0","20200611","3","0","1","0","陕西省","陕西"
"1480","311","0","306","0","2","0","20200612","3","0","1","0","陕西省","陕西"
"1481","311","0","306","0","2","0","20200613","3","0","1","0","陕西省","陕西"
"1482","313","2","306","0","4","2","20200614","3","0","1","0","陕西省","陕西"
"1483","313","0","306","0","4","0","20200615","3","0","1","0","陕西省","陕西"
"1484","313","0","306","0","4","0","20200616","3","0","1","0","陕西省","陕西"
"1485","314","1","306","0","5","1","20200617","3","0","1","0","陕西省","陕西"
"1486","5","5","0","0","5","5","20200121","0","0","0","0","重庆市","重庆"
"1487","9","4","0","0","9","4","20200122","0","0","0","0","重庆市","重庆"
"1488","27","18","0","0","27","18","20200123","0","0","0","0","重庆市","重庆"
"1489","57","30","0","0","57","30","20200124","0","0","0","0","重庆市","重庆"
"1490","75","18","0","0","75","18","20200125","0","0","0","0","重庆市","重庆"
"1491","110","35","0","0","110","35","20200126","0","0","0","0","重庆市","重庆"
"1492","132","22","0","0","132","22","20200127","0","0","0","0","重庆市","重庆"
"1493","147","15","0","0","147","15","20200128","0","0","0","0","重庆市","重庆"
"1494","165","18","1","1","164","17","20200129","0","0","0","0","重庆市","重庆"
